 EE # ; Manufacturer ; Equipment Name ; Model ; Serial ; Status ; PO ; Category ; EIL ; Acquisition Date ; Total Asset Value ; Location ; Last inventory Date 
57847;CAREFUSION SOLUTIONS LLC;PHYSIOLOGICAL MONITOR;ALARIS ETCO2 MODULE 8300;2000777;IN USE;695-P90421;MONITORS: BEDSIDE: RESP: EXHALED CO2;422;7/21/09;3391,46;B0209-111;12/5/16
57850;CAREFUSION SOLUTIONS LLC;PHYSIOLOGICAL MONITOR;ALARIS ETCO2 MODULE 8300;12933451;IN USE;695-P90421;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;7/21/09;3391,46;2438-111;10/2/16
57851;CAREFUSION SOLUTIONS LLC;PHYSIOLOGICAL MONITOR;ALARIS ETCO2 MODULE 8300;12933408;IN USE;695-P90421;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;7/21/09;3391,46;B0209-111;10/2/16
72202;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761059;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;12/5/16
72203;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761000;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;2501-111;12/5/16
72204;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760698;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;10/31/16
72205;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761040;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;7502-111;12/5/16
72206;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760568;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;2501-111;12/5/16
72207;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761152;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;C008-70;10/1/16
72208;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761181;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;10150-111;12/2/16
72209;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760947;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;12/29/16
72210;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760551;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;6604-111;12/14/16
72211;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761183;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;10/25/16
72212;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761304;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;10/31/16
72213;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761062;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;12/14/16
72214;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760946;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;11/8/16
72215;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761001;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;11/8/16
72216;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761255;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;2501-111;12/14/16
72217;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761182;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;6604-111;12/5/16
72218;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760828;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;11/8/16
72219;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761149;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;2501-111;12/5/16
72220;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761257;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;12/5/16
72221;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761218;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;6604-111;12/5/16
72222;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761002;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;12/29/16
